Visor,http://www.champ-sys.com.au/custom/cycling/casual-tech/visor.html,visor,"<p>The CS Custom&#xA0;Visor is made of our breathable <a href='http://champ-sys.com.au/running/fabrics' target='_blank'>CS-Tech</a> Fabric and features an elastic band for supreme comfort. NOTE:&#xA0;This is an embroidered, not a sublimated piece.&#xA0;One logo can be placed on the front of the visor.</p><br><p>&#xA0;</p><br><h4 style='margin-top: 0px; color: #000000; background-color: #ffffff;'>Features:</h4><br><ul style='margin-bottom: 1em; padding-left: 1.5em; list-style-position: outside; list-style-image: initial; background-color: #ffffff;'><br><li>5-piece minimum if part of a jersey/bib short order</li><br><li>50-piece minimum for a cap-only order</li><br><li>available in black, navy blue, and white.</li><br></ul>",
Winter Training Hat,http://www.champ-sys.com.au/custom/cycling/casual-tech/winter-training-hat.html,winter-training-hat,"<p style='text-align: left;'>Classic winter training hat with drawstring closure that can be used as a hat or gaiter.&#xA0;The bottom is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;to keep your ears and forehead warm.&#xA0;The top is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece fabric</a> to allow for increased breathability. Only the <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;can be printed with your artwork.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>fully sublimated</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Baseball Cap,http://www.champ-sys.com.au/custom/cycling/casual-tech/baseball-cap.html,baseball-cap,"<h4>Features:</h4><br><ul><br><li>One size fits all&#xA0;</li><br><li>NOT full custom - small Embroidery logo only</li><br></ul>",
Tech Mechanic Shirt,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-mechanic-shirt.html,tech-mechanic-shirt,"<p>Made from either our technical polyester wicking fabric (slightly heavier than our jersey material) or a woven fabric, the mechanic shirt is perfect for staff, retailers or to slip on after a race.&#xA0;It&apos;s a looser fit than our more tailored tech polo shirt.&#xA0;</p><br><p>&#xA0;</p>",
Tech Long Length Training Short,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-long-length-training-short.html,tech-long-length-training-short,"<p align='left'>Classic loose-fitting running short design.&#xA0;Features a  privacy liner, key pocket, and drawstring waist. Available in both men&apos;s  and women&apos;s cuts. Fully sublimated with your team logos and design.  Unlimited colors at no extra charge.</p>",
Tech Lite Polo Shirt,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-lite-polo-shirt.html,tech-lite-polo-shirt,"<p style='text-align: justify;'>This polo shirt is fully customisable and is made from our new fabric TECH LITE FABRIC &#x201C;Tech Lite is a lightweight, soft and breathable fabric designed for active sports, keeping you cool and dry while the action heats up&#x201D;  Great for teams, coaches and support staff!</p><br><br>Features:<br><br>    No color charges<br>    No set-up charges<br>    Same price for each style<br>    A BIG Feature That Really Sets Us Apart: Our state-of-the-art digital sublimation printing allows us to print virtually any design.  Unlike most of our competitors who use one set of artwork for the entire order, we prepare separate artwork for every garment and every size.  That means the artwork will look great on an XS shirt and an XXXL shirt.",
Run Shorts - LONG,http://www.champ-sys.com.au/custom/cycling/casual-tech/run-shorts-long.html,run-shorts-long,"<p align='left'>Classic loose-fitting running short design.&#xA0;Features a privacy liner, key pocket, and drawstring waist. Available in both men&apos;s and women&apos;s cuts. Fully sublimated with your team logos and design. Unlimited colors at no extra charge.</p>",
Casual Pants CS Wind Guard,http://www.champ-sys.com.au/custom/cycling/casual-tech/casual-pants-cs-wind-guard-30644.html,casual-pants-cs-wind-guard-30644,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our sponsored athletes and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric.&#xA0;The best part is that it can be fully sublimated.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.&#xA0;</p><br><p>&#xA0;</p>",
Hybrid Jacket,http://www.champ-sys.com.au/hybrid-jacket.html,hybrid-jacket,"<p>The Champion System Hybrid Jacket is the perfect jacket for active use in a wide range of sports. The front of the jacket and sleeves feature our <a href='http://champ-sys.com.au/cycling/fabrics'>CS WindGuard</a> fabric, offering complete windproof protection. On the back, the upper utilizes CS WindGuard fabric, while the lower portion is made from a heavyweight fleece fabric. Only the CS WindGuard fabric areas can be printed with your logos. Additional features include two rear zippered pockets and two-way front&#xA0;zipper. Available in set-in sleeve design only.</p>",
Casual Tech Pants,http://www.champ-sys.com.au/custom/cycling/casual-tech/casual-tech-pants.html,casual-tech-pants,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our many sponsored athletes and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric.&#xA0; The best part is that it can be fully sublimated.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.</p><br><p>&#xA0;</p>",
Hoodie Jacket,http://www.champ-sys.com.au/custom/cycling/casual-tech/hoodie-jacket.html,hoodie-jacket,"The Champion System Hoodie is made from a warm fleece material and features a zipper in the front, fitted bottom for extra warmth and pockets. Available in BLACK only, with a position on the front for your custom logo.<br>",
Tech Hoodie Jacket,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-hoodie-jacket.html,tech-hoodie-jacket,"The CS Tech Casual Jacket hoodie takes our already popular CS Tech Casual Jacket to a new comfort level with the addition of a hood for those cool days.  Made from our exclusive CS Tech breathable moisture-wicking fabric this jacket is perfect for before or after an event or just for everyday use.  Features front side pockets with zippers and full length dual front zipper. Available in men&#x2019;s and women&#x2019;s cut.",
Transformer Cap,http://www.champ-sys.com.au/custom/cycling/casual-tech/transformer-cap.html,transformer-cap,"<p>This technical hat is both breathable and folds instantly to fit in your pocket.&#xA0;</p><br><p>NOTE:&#xA0;This is an embroidered, not a sublimated piece.&#xA0;One logo can be placed on the front of the cap.</p><br><p>5-piece minimum if part of a jersey/bib short order<br>50-piece minimum for a cap-only order</p><br><p>&#xA0;</p>",
